dt,series,value
2016-01-01 00:00:00,A,0.1
2016-01-01 00:01:00,A,0.004363309284746571
2016-01-01 00:02:00,A,0.10872653549837394
2016-01-01 00:03:00,A,0.2261791911426889
2016-01-01 00:04:00,A,-0.08254759356271649
2016-01-01 00:05:00,A,0.02181488503456112
2016-01-01 00:06:00,A,-0.07382305169212686
2016-01-01 00:07:00,A,-0.06946148679017734
2016-01-01 00:08:00,A,0.13489949670250098
2016-01-01 00:09:00,A,-0.060740184240931396
2016-01-01 00:10:00,A,0.143619387365336
2016-01-01 00:11:00,A,-0.052021871478656063
2016-01-01 00:12:00,A,-0.04766404375705618
2016-01-01 00:13:00,A,0.056692787563377506
2016-01-01 00:14:00,A,0.06104853953485687
2016-01-01 00:15:00,A,-0.034596870769856944
2016-01-01 00:16:00,A,-0.030243526255874703
2016-01-01 00:17:00,A,0.07410849019539922
2016-01-01 00:18:00,A,0.07845909572784494
2016-01-01 00:19:00,A,0.18280820751220433
2016-01-01 00:20:00,A,-0.01284425725234184
2016-01-01 00:21:00,A,0.19150161866340237
2016-01-01 00:22:00,A,0.09584575252022398
2016-01-01 00:23:00,A,0.2001880616120763
2016-01-01 00:24:00,A,0.20452846326765345
2016-01-01 00:25:00,A,0.10886687485196457
2016-01-01 00:26:00,A,0.11320321376790671
2016-01-01 00:27:00,A,0.21753739745783765
2016-01-01 00:28:00,A,0.12186934340514748
2016-01-01 00:29:00,A,0.12619896913582976
2016-01-01 00:30:00,A,0.11526309611002579
2016-01-01 00:31:00,A,0.0674254651368615
2016-01-01 00:32:00,A,0.23917310096006544
2016-01-01 00:33:00,A,0.043492621991179314
2016-01-01 00:34:00,A,0.2478094111296106
2016-01-01 00:35:00,A,0.1521233861899167
2016-01-01 00:36:00,A,0.2564344650402309
2016-01-01 00:37:00,A,0.1214851312076522
2016-01-01 00:38:00,A,0.06504760586067765
2016-01-01 00:39:00,A,0.06934950384902461
2016-01-01 00:40:00,A,0.13682408883346517
2016-01-01 00:41:00,A,0.07794354547384175
2016-01-01 00:42:00,A,0.18223552549214747
2016-01-01 00:43:00,A,0.28652403600873466
2016-01-01 00:44:00,A,0.0908089953765448
2016-01-01 00:45:00,A,0.14754516100806414
2016-01-01 00:46:00,A,0.1993679344171972
2016-01-01 00:47:00,A,0.3036417511401775
2016-01-01 00:48:00,A,0.10395584540887966
2016-01-01 00:49:00,A,0.21217767215644626
2016-01-01 00:50:00,A,0.11643961393810287
2016-01-01 00:51:00,A,0.1206974350215011
2016-01-01 00:52:00,A,0.22495105434386498
2016-01-01 00:53:00,A,0.32920039092241415
2016-01-01 00:54:00,A,0.3334453638559054
2016-01-01 00:55:00,A,0.06884294616308655
2016-01-01 00:56:00,A,0.24192189559966773
2016-01-01 00:57:00,A,0.346153293028993
2016-01-01 00:58:00,A,0.25038000405444144
2016-01-01 00:59:00,A,0.25460194820552756
2016-01-01 01:00:00,A,0.25881904510252074
2016-01-01 01:01:00,A,0.2630312144579748
2016-01-01 01:02:00,A,0.08361918803912842
2016-01-01 01:03:00,A,0.3714404498650743
2016-01-01 01:04:00,A,0.3756373558169992
2016-01-01 01:05:00,A,0.3798290140309921
2016-01-01 01:06:00,A,0.28401534470392265
2016-01-01 01:07:00,A,0.38819626813408936
2016-01-01 01:08:00,A,0.09618585236136835
2016-01-01 01:09:00,A,0.29654157497557093
2016-01-01 01:10:00,A,0.4007057995042731
2016-01-01 01:11:00,A,0.30486429902801077
2016-01-01 01:12:00,A,0.2090169943749474
2016-01-01 01:13:00,A,0.31316380648374953
2016-01-01 01:14:00,A,0.4173046564050922
2016-01-01 01:15:00,A,0.22143946530316158
2016-01-01 01:16:00,A,0.2255681544571567
2016-01-01 01:17:00,A,0.22969064526278724
2016-01-01 01:18:00,A,0.2338068592337709
2016-01-01 01:19:00,A,0.33791671800332695
2016-01-01 01:20:00,A,0.44202014332566875
2016-01-01 01:21:00,A,0.44611705707749294
2016-01-01 01:22:00,A,0.45020738125946747
2016-01-01 01:23:00,A,0.2542910379977158
2016-01-01 01:24:00,A,0.45836794954530025
2016-01-01 01:25:00,A,0.2624380382837016
2016-01-01 01:26:00,A,0.2665012267242972
2016-01-01 01:27:00,A,0.2705574375098362
2016-01-01 01:28:00,A,0.23730329670795602
2016-01-01 01:29:00,A,0.5572972347048659
2016-01-01 01:30:00,A,0.4826834323650898
2016-01-01 01:31:00,A,0.3867109616368206
2016-01-01 01:32:00,A,0.4907311284892738
2016-01-01 01:33:00,A,0.39474385638426723
2016-01-01 01:34:00,A,0.3987490689252462
2016-01-01 01:35:00,A,0.5027466898587372
2016-01-01 01:36:00,A,0.3067366430758002
2016-01-01 01:37:00,A,0.41071885261347724
2016-01-01 01:38:00,A,0.5146932426562391
2016-01-01 01:39:00,A,0.15932986876871402
2016-01-01 01:40:00,A,0.42261826174069944
2016-01-01 01:41:00,A,0.3265687399014583
2016-01-01 01:42:00,A,0.33051109680829516
2016-01-01 01:43:00,A,0.4344452574044171
2016-01-01 01:44:00,A,0.3383711467890774
2016-01-01 01:45:00,A,0.5422886902190013
2016-01-01 01:46:00,A,0.1730989065549044
2016-01-01 01:47:00,A,0.45009844103743496
2016-01-01 01:48:00,A,0.35399049973954677
2016-01-01 01:49:00,A,0.35787391511695676
2016-01-01 01:50:00,A,0.5617486132350339
2016-01-01 01:51:00,A,0.4656145203251114
2016-01-01 01:52:00,A,0.3694715627858908
2016-01-01 01:53:00,A,0.5733196671848434
2016-01-01 01:54:00,A,0.37715876025960837
2016-01-01 01:55:00,A,0.48098876891938763
2016-01-01 01:56:00,A,0.5848096202463371
2016-01-01 01:57:00,A,0.5886212414969549
2016-01-01 01:58:00,A,0.392423560103467
2016-01-01 01:59:00,A,0.3962165036752082
2016-01-01 02:00:00,A,0.49999999999999994
2016-01-01 02:01:00,A,0.4037739770455263
2016-01-01 02:02:00,A,0.6075383629607041
2016-01-01 02:03:00,A,0.4112930860770522
2016-01-01 02:04:00,A,0.2575190374550271
2016-01-01 02:05:00,A,0.41877325816052147
2016-01-01 02:06:00,A,0.4224985647159488
2016-01-01 02:07:00,A,0.6262139236518695
2016-01-01 02:08:00,A,0.4299192642332049
2016-01-01 02:09:00,A,0.6336145159156115
2016-01-01 02:10:00,A,0.6372996083468239
2016-01-01 02:11:00,A,0.5409744713679939
2016-01-01 02:12:00,A,0.6446390350150271
2016-01-01 02:13:00,A,0.6482932295199137
2016-01-01 02:14:00,A,1.3038739706241163
2016-01-01 02:15:00,A,0.6555702330196022
2016-01-01 02:16:00,A,0.5591929034707468
2016-01-01 02:17:00,A,0.46280492769506854
2016-01-01 02:18:00,A,0.46640623692483285
2016-01-01 02:19:00,A,0.4699967625963031
2016-01-01 02:20:00,A,0.573576436351046
2016-01-01 02:21:00,A,0.47714519003723366
2016-01-01 02:22:00,A,0.4807029557109398
2016-01-01 02:23:00,A,0.9684993312748689
2016-01-01 02:24:00,A,0.6877852522924731
2016-01-01 02:25:00,A,0.34565482418179116
2016-01-01 02:26:00,A,0.4948227867513413
2016-01-01 02:27:00,A,0.4983246005706591
2016-01-01 02:28:00,A,1.0036300463040966
2016-01-01 02:29:00,A,0.7052939880428943
2016-01-01 02:30:00,A,0.6087614290087207
2016-01-01 02:31:00,A,0.7122172800344493
2016-01-01 02:32:00,A,0.5156614753256583
2016-01-01 02:33:00,A,0.519093949309834
